ProjectId,ProjectName,SectorName,StateName,LineMinistry,COMPANYNAME,AgencyId,AgencyName,OriginalCost,RevisedCost,RevisedCostReason,Expenditure,SanctionDate,CreationDate,StartDate,OriginalEndDate,RevisedDate,RevisedDateReason,DELAYED_TIME,COST_OVERRUN_PERC,COST_OVERRUN,COR_PERC,TOR_PERC,PhysicalProgress,OnboardingDelay,Remarks
706718,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,499,499,,212.17,01/11/2021,,,13/07/2024,31/12/2026,,0,0,0,,,53,0,
701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,347,,,189.48,30/12/2022,,,13/08/2025,25/08/2026,,0,0,0,,,96,0,
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1217,1216.9,,1203.48,04/10/2018,,,31/05/2026,31/08/2026,,0,0,0,,,99,0,
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,322,,,240.99,02/06/2023,,,01/02/2026,31/08/2026,,0,0,0,,,97,0,
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,320,,,169.11,02/06/2023,,,21/01/2026,30/09/2026,,0,0,0,,,88,0,
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,266,,,176.38,10/03/2023,,,27/01/2026,30/09/2026,,0,0,0,,,80,0,
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,887,887,,587.22,21/06/2023,,,10/03/2026,26/09/2026,,0,0,0,,,79,0,
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,612,824.28,,572.99,17/06/2020,,,04/09/2022,10/11/2026,,0,0,0,,,90,0,
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,480,,348.2,01/06/2022,,,31/03/2026,15/06/2026,,0,0,0,,,100,0,
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,861,861.37,,370.44,10/10/2023,,,21/06/2026,30/11/2026,,0,0,0,,,58,0,
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,640,,512.55,27/07/2018,,,14/09/2021,31/07/2026,,0,0,0,,,88,0,
