ProjectId,ProjectName_june,SectorName_june,StateName_june,LineMinistry_june,COMPANYNAME_june,AgencyId_june,AgencyName_june,OriginalCost_june,RevisedCost_june,RevisedCostReason_june,Expenditure_june,SanctionDate_june,CreationDate_june,StartDate_june,OriginalEndDate_june,RevisedDate_june,RevisedDateReason_june,DELAYED_TIME_june,COST_OVERRUN_PERC_june,COST_OVERRUN_june,COR_PERC_june,TOR_PERC_june,PhysicalProgress_june,OnboardingDelay_june,Remarks_june,ProjectName_july,SectorName_july,StateName_july,LineMinistry_july,COMPANYNAME_july,AgencyId_july,AgencyName_july,OriginalCost_july,RevisedCost_july,RevisedCostReason_july,Expenditure_july,SanctionDate_july,CreationDate_july,StartDate_july,OriginalEndDate_july,RevisedDate_july,RevisedDateReason_july,DELAYED_TIME_july,COST_OVERRUN_PERC_july,COST_OVERRUN_july,COR_PERC_july,TOR_PERC_july,PhysicalProgress_july,OnboardingDelay_july,Remarks_july,physical_progress,original_cost,revised_cost,expenditure,cost_overrun,cost_overrun_perc,cost_ratio,expenditure_rate,months_since_sanction,months_to_anticipated_completion,execution_velocity,monsoon_overlap,SectorName_june_freq,LineMinistry_june_freq,COMPANYNAME_june_freq,predictive_risk_index,observed_velocity,required_velocity,recoverability_score
706718,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,499,499.0,,206.83,01/11/2021,,,13/07/2024,31/12/2026,,0.0,0,0,,,53,0,,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,499,499.0,,212.17,01/11/2021,,,13/07/2024,31/12/2026,,0,0,0,,,53,0,,53.0,499.0,499.0,206.83,0.0,0.0,1.0,0.41448897795591183,55.91327201051248,6.044678055190539,0.9478965922444184,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.356191276061779,0.0,7.775434782608696,0.0
701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,347,,,189.48,30/12/2022,,,13/08/2025,30/06/2026,,0.0,0,0,,,94,0,,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,347,,,189.48,30/12/2022,,,13/08/2025,25/08/2026,,0,0,0,,,96,0,,94.0,347.0,347.0,189.48,0.0,0.0,1.0,0.5460518731988472,41.98423127463863,1.0,2.2389358372456964,0.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,42.278945914143705,2.0,6.0,33.33333333333333
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1217,1216.9,,1202.07,04/10/2018,,,31/05/2026,31/08/2026,,0.0,0,0,,,99,0,,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1217,1216.9,,1203.48,04/10/2018,,,31/05/2026,31/08/2026,,0,0,0,,,99,0,,99.0,1217.0,1216.9,1202.07,0.0,0.0,0.9999178307313066,0.9878132960802036,92.83837056504599,2.0367936925098555,1.0663694267515924,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,9.715031976993732,0.0,0.49096774193548387,0.0
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,322,,,220.72,02/06/2023,,,01/02/2026,30/06/2026,,0.0,0,0,,,95,0,,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,322,,,240.99,02/06/2023,,,01/02/2026,31/08/2026,,0,0,0,,,97,0,,95.0,322.0,322.0,220.72,0.0,0.0,1.0,0.6854658385093167,36.925098554533506,1.0,2.572775800711744,0.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,48.92310106289091,2.0,5.0,40.0
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,320,,,160.21,02/06/2023,,,21/01/2026,30/06/2026,,0.0,0,0,,,85,0,,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,320,,,169.11,02/06/2023,,,21/01/2026,30/09/2026,,0,0,0,,,88,0,,85.0,320.0,320.0,160.21,0.0,0.0,1.0,0.50065625,36.925098554533506,1.0,2.301957295373666,0.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,46.2661421717944,3.0,15.0,20.0
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,266,,,153.62,10/03/2023,,,27/01/2026,15/07/2026,,0.0,0,0,,,75,0,,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,266,,,176.38,10/03/2023,,,27/01/2026,30/09/2026,,0,0,0,,,80,0,,75.0,266.0,266.0,153.62,0.0,0.0,1.0,0.5775187969924812,39.68462549277267,1.0,1.8899006622516556,1.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,54.41677285437804,5.0,25.0,20.0
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,887,887.0,,565.41,21/06/2023,,,10/03/2026,26/09/2026,,0.0,0,0,,,75,0,,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,887,887.0,,587.22,21/06/2023,,,10/03/2026,26/09/2026,,0,0,0,,,79,0,,75.0,887.0,887.0,565.41,0.0,0.0,1.0,0.6374408117249154,36.300919842312744,2.890932982917214,2.06606334841629,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,13.720402138414928,4.0,8.647727272727273,46.25492772667542
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,612,611.8,,527.74,17/06/2020,,,04/09/2022,31/10/2026,,0.0,0,0,,,88,0,,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,612,824.28,,572.99,17/06/2020,,,04/09/2022,10/11/2026,,0,0,0,,,90,0,,88.0,612.0,611.8,527.74,0.0,0.0,0.999673202614379,0.8626021575678327,72.40473061760841,4.040735873850197,1.2153901996370235,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,28.83999434294505,2.0,2.9697560975609756,67.34559789750328
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,480.0,,348.01,01/06/2022,,,31/03/2026,15/06/2026,,0.0,0,0,,,100,0,,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,480.0,,348.2,01/06/2022,,,31/03/2026,15/06/2026,,0,0,0,,,100,0,,100.0,480.0,480.0,348.01,0.0,0.0,1.0,0.7250208333333333,48.94875164257556,1.0,2.0429530201342283,0.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,26.605644411619366,0.0,0.0,0.0
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,861,861.37,,353.54,10/10/2023,,,21/06/2026,30/11/2026,,0.0,0,0,,,55,0,,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,861,861.37,,370.44,10/10/2023,,,21/06/2026,30/11/2026,,0,0,0,,,58,0,,55.0,861.0,861.37,353.54,0.0,0.0,1.0004297328687572,0.41043918409046054,32.65440210249671,5.026281208935611,1.6843058350100606,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,6.441685673915954,3.0,8.952941176470588,33.50854139290407
