feature,mean_abs_shap_xgb,mean_abs_shap_lgb,mean_abs_shap_avg
months_to_anticipated_completion,1.6169354,1.4551384894938657,1.5097826769947158
COMPANYNAME_june_freq,0.40452054,0.4370163075140442,0.41360113854192737
monsoon_overlap,0.2824321,0.2652348326446626,0.27383338708571264
LineMinistry_june_freq,0.26262563,0.24467583962255468,0.2526292127337293
physical_progress,0.14111131,0.19291128424517281,0.1660605234155678
execution_velocity,0.13831447,0.17049080893705829,0.154213276803515
months_since_sanction,0.16570449,0.14609203726439135,0.1479902452146405
cost_ratio,0.15027194,0.13622172511531935,0.13817099124537932
expenditure_rate,0.123185016,0.1129466845310411,0.11277291284252886
revised_cost,0.10572819,0.10266616565960489,0.10038595954727643
expenditure,0.08633815,0.09247975188621681,0.08177561631196789
original_cost,0.077127546,0.0539370667442235,0.06132778627767346
SectorName_june_freq,0.04602871,0.03564582860245326,0.03522061799199423
cost_overrun_perc,0.0,0.0,0.0
